genre,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues,0.114,0.172,1.981,3.316,0.063,0.021,0.143,0.096,161.499,1372.439,450.587,1504.601,377.337,1999.555,324.729,2480.312,281.76,16.17,16.377,21.302,21.61,18.688,17.775,35.751,5.308,5.439,6.31,5.722,4.883,3.518,5.471,2709.625,1188.957,-173.707,137.156,-23.767,26.989,-16.668,4.198,-12.567,5.835,-2.882,-1.209,-1.966,1.801,-2.988,-1.869,-0.8,-3.024,-0.445,-1.998,-0.744,-4.986,90.228,32.914,32.049,22.265,17.027,12.664,12.263,9.087,10.422,8.104,7.453,7.614,9.695,6.336,7.05,7.94,7.555,7.463,6.872,6.827,0.46,0.169,0.191,0.378,0.354,0.457,0.274,0.319,0.186,0.204,0.323,0.314,0.378,0.19,0.191,0.363,0.276,0.418,0.251,0.304,0.224,0.237,0.307,0.264
blues,0.054,0.083,1.952,3.406,0.044,0.043,0.066,0.05,161.499,1239.388,655.775,1726.187,474.232,2302.065,377.215,2829.174,304.088,27.496,16.882,17.708,17.875,17.411,16.101,32.181,5.849,4.816,4.668,3.85,3.19,2.495,5.026,2686.367,1677.278,-287.915,123.98,5.46,33.678,1.092,14.704,-4.899,8.655,0.784,6.571,-4.879,-3.181,-5.556,-6.79,-2.645,-2.985,-3.385,-1.856,1.836,-4.897,77.046,31.544,17.386,18.556,21.016,15.348,12.216,13.756,12.2,10.689,9.687,9.178,8.094,7.793,7.447,7.382,6.314,6.839,6.088,5.301,0.259,0.225,0.296,0.396,0.646,0.568,0.361,0.35,0.347,0.353,0.277,0.321,0.28,0.212,0.24,0.277,0.369,0.357,0.256,0.301,0.305,0.318,0.272,0.336
blues,0.096,0.135,1.714,2.013,0.069,0.049,0.119,0.064,92.285,1330.113,503.19,1560.383,212.142,2061.157,197.951,2557.5,243.323,16.898,18.896,21.024,20.11,21.647,22.821,33.554,4.763,5.085,4.876,4.874,4.386,4.058,3.428,2696.142,992.692,-207.208,132.799,-15.439,60.987,0.726,12.438,1.184,-1.541,-17.888,8.358,-2.452,-0.613,0.385,2.605,-5.189,-9.527,-9.244,-2.848,-1.419,-5.933,67.665,25.798,30.585,18.205,17.705,10.068,10.424,10.561,9.829,9.752,11.82,9.63,9.303,7.331,6.767,8.325,7.985,8.294,10.593,9.566,0.325,0.159,0.215,0.203,0.194,0.261,0.307,0.159,0.179,0.208,0.349,0.652,0.239,0.21,0.302,0.261,0.283,0.301,0.332,0.196,0.238,0.256,0.229,0.398
blues,0.091,0.13,1.92,2.658,0.051,0.035,0.113,0.065,107.666,1291.418,402.523,1816.081,271.656,2447.486,268.23,3018.302,274.629,17.055,18.553,21.614,18.876,19.604,19.271,35.001,4.742,5.31,4.881,4.306,4.06,4.096,1.695,2640.559,1012.765,-209.789,124.458,10.31,47.018,6.51,15.405,-1.993,6.717,-21.554,10.722,-5.525,-2.206,-3.038,8.646,-0.304,-0.638,-2.94,-1.706,-1.77,-7.763,44.381,23.285,25.733,12.194,10.108,12.104,8.347,8.741,9.819,9.798,9.524,7.695,7.246,8.473,8.277,9.415,9.873,10.215,9.431,10.679,0.128,0.143,0.172,0.147,0.188,0.228,0.154,0.215,0.343,0.384,0.688,0.374,0.176,0.239,0.244,0.228,0.25,0.255,0.179,0.244,0.345,0.242,0.38,0.249
blues,0.053,0.085,2.759,6.835,0.045,0.039,0.067,0.052,151.999,1109.161,390.376,1667.581,276.898,2301.88,365.062,2878.421,427.832,17.686,19.686,23.638,19.524,20.495,19.458,30.913,4.343,5.291,5.916,5.605,5.318,5.243,2.989,2132.937,932.952,-305.705,113.061,12.119,45.03,17.77,14.58,4.167,0.225,-7.022,13.644,8.935,1.298,5.954,8.544,1.118,0.592,0.057,-3.712,-1.004,-1.802,90.54,26.128,38.255,15.003,15.819,12.449,12.542,12.931,9.886,8.77,9.482,7.927,8.021,8.721,11.711,8.225,9.836,8.104,9.451,10.659,0.295,0.315,0.292,0.237,0.293,0.312,0.235,0.234,0.284,0.378,0.621,0.434,0.323,0.334,0.312,0.271,0.305,0.319,0.249,0.246,0.284,0.291,0.421,0.334
blues,0.064,0.097,2.482,5.197,0.064,0.044,0.081,0.053,99.384,1367.373,444.289,1713.646,267.998,2288.673,311.308,2827.457,348.326,16.868,18.578,20.97,19.748,20.297,20.031,33.11,4.615,4.479,5.392,5.168,4.412,4.178,2.748,2824.108,817.655,-238.519,120.085,-4.228,42.307,5.921,13.919,5.362,1.902,-16.933,12.345,3.947,-1.385,0.022,3.587,-4.504,-5.542,-6.888,-4.828,1.735,-1.889,66.198,26.989,31.297,19.58,17.289,10.84,10.935,11.997,9.481,8.733,9.038,7.806,7.785,9.46,10.097,8.801,9.675,8.109,8.847,11.454,0.28,0.163,0.243,0.243,0.279,0.294,0.265,0.17,0.19,0.239,0.34,0.519,0.238,0.209,0.339,0.296,0.34,0.331,0.295,0.212,0.242,0.274,0.271,0.412
blues,0.065,0.096,2.241,4.027,0.061,0.038,0.081,0.051,103.359,1403.267,385.448,1807.341,323.792,2399.614,354.893,2942.892,379.45,16.845,17.975,21.054,18.753,20.273,18.607,33.931,4.639,4.563,5.315,5.259,4.599,4.557,2.408,2893.508,954.838,-233.764,120.673,-3.171,39.541,3.857,18.84,-3.692,4.432,-14.978,17.568,1.84,2.537,-1.24,8.439,-0.211,-3.906,-4.479,-0.012,1.294,-2.085,70.483,23.716,34.763,19.91,16.843,12.498,10.017,10.563,10.075,10.106,10.424,8.147,8.068,8.065,7.691,8.825,9.076,9.24,9.145,10.036,0.237,0.173,0.147,0.247,0.409,0.256,0.258,0.342,0.492,0.563,0.292,0.246,0.291,0.226,0.199,0.255,0.358,0.257,0.28,0.316,0.33,0.396,0.244,0.281
blues,0.074,0.104,2.029,2.914,0.048,0.029,0.093,0.046,161.499,1063.2,480.166,1401.075,266.781,1941.184,200.946,2476.263,186.721,15.955,19.001,22.649,19.941,21.312,21.699,31.513,4.714,4.738,5.001,4.782,4.462,3.627,4.025,2091.046,1054.148,-245.757,140.486,-2.765,60.436,18.938,9.834,3.564,0.533,-16.372,6.63,7.268,-4.009,1.608,5.899,-3.023,-4.773,-3.026,-1.994,-0.055,-3.975,72.077,28.296,28.221,18.984,15.342,9.987,10.892,9.651,11.361,10.261,9.837,8.45,8.542,8.873,7.486,7.645,8.107,8.066,7.93,8.047,0.306,0.208,0.158,0.157,0.306,0.26,0.253,0.31,0.413,0.58,0.355,0.31,0.329,0.243,0.225,0.186,0.323,0.246,0.278,0.288,0.288,0.385,0.231,0.319
blues,0.065,0.097,2.373,4.629,0.056,0.042,0.08,0.054,83.354,1472.566,414.176,2032.471,365.728,2629.369,340.176,3164.28,328.735,18.192,18.695,23.523,18.945,19.768,18.252,34.705,4.929,4.957,6.638,4.993,4.736,4.836,2.157,3355.563,1286.832,-252.534,104.927,15.354,42.657,6.778,21.619,-1.3,5.684,-16.615,12.166,-1.953,1.961,-0.881,7.779,2.39,1.774,1.339,3.631,4.911,-2.652,53.619,24.568,25.742,12.78,9.647,10.824,8.566,10.029,11.198,11.11,7.21,8.049,6.981,8.46,10.095,9.655,11.488,13.488,12.319,9.823,0.213,0.162,0.188,0.201,0.219,0.282,0.331,0.251,0.33,0.378,0.302,0.397,0.243,0.235,0.266,0.261,0.283,0.327,0.351,0.275,0.313,0.367,0.27,0.408
blues,0.077,0.11,2.049,3.106,0.059,0.042,0.098,0.051,123.047,1164.684,499.232,1470.508,217.088,2049.81,185.141,2602.462,213.223,16.52,18.321,22.752,19.26,20.713,20.681,32.148,5.068,5.184,4.833,4.432,4.398,3.693,3.502,2182.67,1108.786,-236.665,138.409,-4.903,47.625,5.179,8.879,0.507,-3.818,-14.978,10.42,-0.351,0.778,1.777,4.235,-0.463,-6.106,-5.382,-1.338,-3.72,-4.353,74.721,23.168,34.171,17.679,21.628,9.581,9.884,12.62,8.796,10.238,11.591,8.98,8.839,8.586,7.959,8.987,9.772,9.625,8.516,8.169,0.196,0.191,0.157,0.256,0.339,0.146,0.14,0.247,0.44,0.554,0.253,0.177,0.287,0.25,0.244,0.291,0.366,0.21,0.216,0.288,0.308,0.416,0.225,0.241
blues,0.059,0.09,2.84,6.808,0.053,0.025,0.075,0.05,135.999,1338.504,307.915,1891.747,285.495,2522.454,285.594,3088.131,284.252,16.322,15.956,20.532,17.66,18.536,17.23,34.292,4.535,4.274,5.098,4.103,3.799,3.384,2.104,2881.616,915.925,-230.413,127.094,7.151,39.782,1.951,17.412,-5.626,8.253,-18.105,13.839,-3.764,2.561,-4.329,6.818,-6.158,-6.215,-4.515,-1.851,-0.539,1.508,54.651,19.935,24.527,13.265,10.783,10.014,8.932,8.326,7.75,8.536,8.462,8.638,7.911,7.864,7.79,7.058,7.263,8.515,9.701,8.593,0.26,0.172,0.217,0.281,0.496,0.259,0.221,0.333,0.385,0.305,0.281,0.418,0.253,0.227,0.282,0.254,0.396,0.234,0.246,0.316,0.348,0.304,0.26,0.359
blues,0.081,0.116,2.098,3.215,0.048,0.048,0.101,0.057,99.384,1015.791,539.952,1463.579,257.752,2104.941,262.972,2694.883,308.904,19.33,18.665,22.574,20.38,21.439,20.541,32.173,4.919,4.955,4.836,4.925,5.314,5.307,3.572,1768.206,1171.921,-264.698,138.856,11.186,48.52,14.915,20.573,3.208,1.247,-15.846,15.987,3.369,-1.52,1.895,6.326,-0.987,-2.413,-3.683,0.497,5.047,-0.78,79.665,31.657,35.867,19.282,15.771,11.405,10.957,10.225,9.768,9.229,8.896,8.483,8.37,8.277,9.065,9.464,9.694,10.924,10.856,12.189,0.231,0.16,0.179,0.218,0.387,0.556,0.454,0.444,0.403,0.294,0.283,0.232,0.28,0.181,0.215,0.208,0.334,0.417,0.352,0.319,0.329,0.252,0.341,0.254
blues,0.09,0.129,2.109,3.342,0.059,0.054,0.113,0.061,99.384,1129.356,561.476,1485.163,237.582,2071.845,242.508,2624.686,295.501,18.658,17.915,22.695,20.29,21.435,22.001,33.072,4.776,4.96,5.253,5.158,4.847,5.279,4.012,2116.396,1165.686,-233.861,136.17,3.289,48.931,8.699,13.955,5.359,0.381,-13.49,16.872,5.145,-2.251,3.959,5.323,0.812,-1.107,-4.557,-2.436,3.317,-0.608,80.634,30.981,34.098,19.61,17.444,12.893,10.282,11.296,12.291,9.084,10.705,8.808,8.125,9.125,10.054,8.963,8.88,10.019,10.924,11.975,0.387,0.232,0.211,0.254,0.326,0.495,0.353,0.316,0.277,0.314,0.248,0.236,0.362,0.232,0.278,0.292,0.314,0.408,0.308,0.301,0.256,0.316,0.279,0.234
blues,0.081,0.118,2.076,3.318,0.052,0.033,0.102,0.06,95.703,1176.405,359.549,1486.587,216.69,1997.828,261.478,2505.908,311.756,16.077,19.497,24.156,21.219,20.59,20.636,30.663,4.648,5.004,5.03,4.829,4.601,4.061,2.121,2454.077,780.636,-227.265,137.762,-14.5,63.557,5.627,11.962,1.906,-1.881,-7.609,-2.471,-2.884,-9.433,-10.917,3.569,4.14,0.093,-2.973,-1.377,7.55,-3.033,64.422,22.516,35.299,14.546,12.374,9.794,10.046,9.377,9.864,9.919,10.205,9.38,10.768,8.311,8.79,6.729,8.176,9.09,9.662,8.606,0.209,0.275,0.191,0.205,0.483,0.239,0.125,0.164,0.278,0.655,0.376,0.194,0.249,0.333,0.245,0.196,0.387,0.21,0.19,0.217,0.216,0.371,0.254,0.223
blues,0.069,0.1,2.267,4.129,0.047,0.033,0.087,0.05,103.359,1083.703,420.712,1431.805,224.578,1928.313,239.806,2419.088,301.829,16.019,21.712,23.99,20.177,20.055,21.283,28.85,4.008,6.056,5.802,4.907,4.43,4.773,1.917,2233.203,1096.976,-274.289,130.417,-6.395,70.411,13.266,9.463,7.723,-1.245,-0.575,-2.3,3.783,0.081,-0.94,2.295,4.291,-1.662,-10.445,-6.798,-1.068,-1.596,76.911,22.373,36.638,17.644,15.183,12.471,11.021,12.258,9.706,8.301,8.763,8.58,11.258,7.95,8.346,6.922,7.006,6.278,6.652,9.138,0.287,0.239,0.226,0.174,0.217,0.226,0.104,0.085,0.142,0.343,0.643,0.499,0.296,0.288,0.297,0.255,0.288,0.292,0.153,0.158,0.192,0.277,0.379,0.358
blues,0.071,0.105,2.616,5.393,0.052,0.037,0.089,0.056,92.285,1084.053,373.052,1452.647,186.815,1981.696,248.159,2502.743,314.957,14.455,18.323,22.955,20.238,20.24,20.791,30.212,4.233,4.741,5.567,4.387,4.744,4.723,1.592,2188.553,930.368,-249.282,130.998,0.665,66.696,17.906,4.623,6.61,1.245,1.419,-1.584,-0.974,-3.575,-2.927,4.599,7.478,-0.179,-2.819,-2.668,0.752,-0.533,63.114,18.399,39.753,17.278,13.545,13.166,9.824,9.916,8.698,9.588,10.079,9.231,9.293,7.906,9.577,10.032,9.352,8.81,8.717,8.227,0.242,0.206,0.265,0.18,0.232,0.305,0.138,0.111,0.173,0.427,0.777,0.419,0.23,0.235,0.301,0.234,0.259,0.309,0.154,0.148,0.187,0.228,0.331,0.255
blues,0.062,0.109,3.604,12.188,0.052,0.039,0.077,0.077,83.354,1140.597,404.439,1546.145,269.845,2083.353,323.733,2596.44,380.811,17.461,19.937,23.155,21.242,21.709,20.343,29.957,3.996,5.698,6.814,5.141,5.096,4.977,2.323,2320.411,1015.987,-284.82,108.786,9.132,51.259,18.111,7.621,8.782,2.372,0.012,2.25,4.2,-3.304,1.602,2.661,3.323,3.259,-4.551,0.494,5.937,3.232,78.786,26.061,38.065,17.167,14.526,13.497,11.03,10.159,9.672,10.307,9.183,9.882,8.28,8.597,9.552,10.748,11.72,10.292,11.857,13.032,0.377,0.248,0.218,0.148,0.206,0.367,0.198,0.154,0.196,0.248,0.466,0.51,0.322,0.237,0.301,0.208,0.26,0.367,0.221,0.231,0.241,0.226,0.34,0.391
blues,0.076,0.107,1.796,2.197,0.072,0.05,0.096,0.047,95.703,1353.317,444.21,1488.229,200.875,1921.755,234.571,2365.34,287.995,18.549,19.936,24.478,22.178,22.387,22.861,30.798,5.192,4.852,4.835,4.591,5.066,4.806,1.994,2751.7,743.787,-228.228,130.354,-23.298,70.174,1.137,7.61,0.915,1.989,-6.161,-9.391,-2.566,-4.524,-0.267,0.181,-1.513,1.461,-6.976,-8.319,4.241,0.98,53.038,26.246,30.463,19.925,13.489,12.384,10.006,9.396,7.868,9.277,10.391,7.683,8.234,7.553,8.91,8.978,8.067,9.582,10.943,11.49,0.379,0.239,0.28,0.245,0.414,0.294,0.2,0.124,0.167,0.219,0.335,0.561,0.287,0.247,0.326,0.243,0.37,0.267,0.282,0.209,0.216,0.23,0.263,0.391
blues,0.079,0.119,2.596,5.719,0.048,0.029,0.1,0.064,103.359,1079.353,324.927,1385.229,218.105,1897.964,264.558,2412.615,315.097,15.1,20.213,22.867,20.099,20.199,21.056,30.334,4.48,5.134,5.358,4.926,4.355,4.315,2.327,2214.653,803.786,-248.967,139.039,-16.249,57.098,20.196,10.161,4.58,0.34,-7.868,-3.466,-2.641,-2.844,-0.893,-2.402,2.573,-5.874,-12.408,-7.302,-0.932,-2.699,70.5,19.976,34.112,18.17,12.579,11.543,11.18,10.876,8.357,8.282,8.906,8.167,9.767,7.418,7.888,6.834,7.49,6.126,6.956,9.318,0.289,0.22,0.257,0.177,0.212,0.309,0.167,0.103,0.163,0.337,0.6,0.475,0.29,0.258,0.315,0.225,0.265,0.336,0.209,0.175,0.24,0.285,0.379,0.344
