genre,signal_mean,signal_std,signal_skew,signal_kurtosis,zcr_mean,zcr_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std,chroma_stft_1_mean,chroma_stft_2_mean,chroma_stft_3_mean,chroma_stft_4_mean,chroma_stft_5_mean,chroma_stft_6_mean,chroma_stft_7_mean,chroma_stft_8_mean,chroma_stft_9_mean,chroma_stft_10_mean,chroma_stft_11_mean,chroma_stft_12_mean,chroma_stft_1_std,chroma_stft_2_std,chroma_stft_3_std,chroma_stft_4_std,chroma_stft_5_std,chroma_stft_6_std,chroma_stft_7_std,chroma_stft_8_std,chroma_stft_9_std,chroma_stft_10_std,chroma_stft_11_std,chroma_stft_12_std
blues,0.113,0.158,1.46,1.376,0.035,0.023,0.139,0.076,1107.807,480.333,1673.863,461.298,2314.244,413.834,2314.244,413.834,30.087,14.385,16.904,18.314,18.343,16.117,35.04,5.273,4.07,4.006,3.22,3.439,1.948,4.962,2369.002,1439.275,-196.464,147.607,7.919,27.065,1.712,17.067,-8.422,9.229,-2.117,9.926,-4.216,6.783,-4.64,-0.367,-1.621,0.698,-4.022,-0.757,-1.801,-3.194,74.962,23.088,15.311,11.992,14.899,10.931,13.93,8.731,10.637,9.146,10.591,6.912,7.425,7.121,6.182,6.539,7.221,5.912,5.856,5.772,0.377,0.425,0.552,0.551,0.615,0.522,0.409,0.26,0.256,0.303,0.313,0.435,0.251,0.221,0.328,0.318,0.346,0.303,0.234,0.203,0.213,0.28,0.262,0.354
blues,0.118,0.163,1.386,1.171,0.034,0.021,0.144,0.076,1091.977,394.354,1659.278,352.024,2311.936,327.138,2311.936,327.138,30.056,15.22,17.782,18.344,18.679,17.159,35.369,5.593,4.101,4.427,3.264,3.316,2.531,4.122,2196.337,1115.259,-188.408,147.559,4.981,28.006,-2.446,17.252,-5.494,9.253,-3.186,6.34,-8.398,7.312,-0.81,-1.563,-3.858,2.208,-6.352,0.443,-1.432,-4.68,68.661,16.709,14.834,13.867,18.273,11.092,10.71,10.352,8.951,8.768,10.341,8.021,8.962,9.807,8.593,7.385,6.857,6.375,6.848,5.4,0.347,0.438,0.553,0.534,0.608,0.501,0.339,0.274,0.249,0.319,0.332,0.354,0.26,0.251,0.325,0.309,0.343,0.325,0.213,0.219,0.223,0.288,0.293,0.308
blues,0.079,0.115,2.227,3.992,0.116,0.059,0.101,0.056,2004.209,738.734,1858.351,340.892,2289.512,234.402,2289.512,234.402,17.057,16.047,19.188,21.343,20.888,20.267,38.953,4.082,4.232,4.024,4.625,3.831,3.78,6.009,3955.14,1474.294,-151.967,115.34,-31.88,23.763,-37.114,13.918,-23.041,4.602,-14.46,4.068,-16.675,-4.082,-4.756,-7.974,-9.65,-2.115,-8.198,-1.06,-3.901,-12.995,73.192,35.547,17.777,15.423,19.026,12.513,10.583,12.127,13.808,10.643,8.157,8.2,9.744,9.467,9.169,11.391,8.454,7.917,7.689,7.555,0.24,0.466,0.359,0.241,0.206,0.402,0.151,0.202,0.384,0.386,0.526,0.228,0.219,0.382,0.28,0.284,0.19,0.325,0.16,0.225,0.336,0.237,0.378,0.216
blues,0.064,0.093,2.184,3.743,0.097,0.033,0.083,0.043,1717.554,482.111,1703.39,268.242,2174.118,212.658,2174.118,212.658,17.038,15.518,19.427,20.355,20.997,19.733,36.163,4.604,4.062,4.256,4.212,4.409,4.098,4.581,3382.412,1103.167,-174.251,133.307,-42.391,27.085,-32.371,13.565,-26.275,1.914,-13.449,3.187,-14.982,0.882,-11.066,-4.801,-11.175,-4.613,-5.507,0.834,-6.156,-10.802,73.669,25.113,19.132,12.497,14.863,11.082,8.709,9.466,9.294,8.654,8.615,10.431,9.679,8.21,8.935,7.363,8.243,7.563,8.264,8.312,0.18,0.254,0.331,0.225,0.255,0.6,0.201,0.138,0.223,0.334,0.589,0.219,0.201,0.289,0.268,0.271,0.201,0.37,0.185,0.189,0.26,0.201,0.344,0.183
blues,0.07,0.1,2.149,3.424,0.09,0.027,0.091,0.042,1656.756,448.715,1676.814,255.694,2157.367,183.681,2157.367,183.681,17.122,15.584,18.914,20.106,20.575,19.236,36.709,4.369,3.889,4.129,4.041,3.803,3.206,4.42,3246.717,1083.368,-161.258,139.225,-41.658,24.581,-36.727,13.52,-28.781,2.643,-14.784,3.15,-13.892,0.479,-10.105,-5.28,-10.771,-3.349,-5.569,-0.13,-5.065,-9.92,69.247,23.243,15.981,12.65,18.752,9.586,9.082,10.301,9.741,9.675,8.888,8.995,8.624,7.349,8.066,8.3,9.074,6.413,7.751,6.011,0.204,0.333,0.42,0.243,0.251,0.595,0.217,0.151,0.264,0.37,0.538,0.21,0.192,0.305,0.323,0.275,0.184,0.36,0.184,0.181,0.284,0.247,0.349,0.176
blues,0.081,0.121,2.719,6.085,0.096,0.085,0.103,0.064,1749.869,1112.644,1666.498,490.247,2158.704,363.945,2158.704,363.945,17.286,19.857,22.192,21.941,21.108,19.266,37.288,4.385,5.303,6.095,5.154,4.19,3.752,7.804,3249.89,1967.341,-192.285,123.234,-15.554,28.941,-23.014,12.881,-22.004,2.606,-9.703,0.055,-11.882,-2.657,-8.106,-9.547,-5.167,-3.276,-1.729,-2.886,-2.648,-8.124,92.615,64.071,27.802,21.624,21.56,18.192,13.57,12.551,14.046,10.819,8.519,10.297,8.564,7.285,7.877,9.618,9.444,7.074,5.615,7.074,0.251,0.269,0.534,0.216,0.136,0.284,0.302,0.467,0.257,0.291,0.355,0.431,0.298,0.202,0.38,0.167,0.146,0.3,0.258,0.333,0.218,0.285,0.315,0.324
blues,0.078,0.113,2.434,4.988,0.095,0.091,0.098,0.057,1835.939,1070.068,1746.881,426.613,2223.431,324.271,2223.431,324.271,18.391,20.272,20.624,20.63,20.378,19.369,38.2,4.757,5.376,5.174,4.706,4.226,3.223,6.274,3481.984,1761.504,-187.405,117.028,-21.375,41.365,-20.446,17.302,-23.309,8.574,-10.688,1.239,-13.801,-1.684,-12.154,-9.84,-6.283,-7.254,-2.279,-3.624,-2.281,-6.987,80.342,63.084,23.616,25.047,20.22,14.775,11.179,11.553,10.468,9.665,8.743,8.699,9.106,6.43,8.466,8.36,8.241,5.995,6.178,6.239,0.173,0.377,0.666,0.217,0.139,0.258,0.28,0.343,0.192,0.238,0.284,0.3,0.245,0.235,0.378,0.164,0.164,0.28,0.262,0.32,0.23,0.229,0.307,0.28
blues,0.087,0.129,2.962,6.802,0.09,0.057,0.11,0.068,1778.889,835.23,1759.691,435.301,2215.658,311.666,2215.658,311.666,16.502,18.422,21.245,21.592,20.831,19.642,38.032,4.604,5.285,5.112,4.53,4.004,3.292,6.474,3520.754,1704.497,-159.243,122.108,-22.657,28.393,-27.784,11.259,-21.972,3.041,-9.359,-0.666,-12.623,-0.49,-9.642,-8.939,-1.302,-5.522,-1.872,-1.779,-4.083,-9.439,81.567,41.325,23.235,15.518,18.329,14.713,13.767,9.742,14.533,9.488,9.115,7.498,8.81,6.884,6.509,7.337,7.616,6.136,6.804,6.799,0.279,0.318,0.637,0.225,0.115,0.2,0.263,0.419,0.267,0.329,0.224,0.353,0.31,0.208,0.382,0.14,0.121,0.251,0.248,0.341,0.244,0.308,0.208,0.297
blues,0.091,0.139,2.568,5.525,0.055,0.035,0.112,0.082,1207.521,646.355,1280.275,414.129,1716.436,383.558,1716.436,383.558,26.11,22.052,22.993,21.879,22.122,19.643,30.123,6.85,6.164,5.863,5.199,4.363,3.541,7.511,2418.563,1271.686,-231.624,137.202,-26.309,28.27,18.801,-1.818,-18.937,-1.219,-5.529,-8.208,-8.899,-3.104,-6.43,-7.831,-5.333,-8.26,-9.777,-7.086,-5.6,-8.522,89.558,43.795,33.089,20.94,32.817,16.046,12.319,8.057,9.581,10.427,8.635,8.042,6.999,7.555,7.763,8.167,7.839,5.998,6.651,7.112,0.435,0.209,0.097,0.12,0.209,0.445,0.238,0.151,0.294,0.469,0.324,0.266,0.371,0.237,0.168,0.2,0.201,0.407,0.241,0.171,0.331,0.343,0.343,0.247
blues,0.117,0.173,2.022,3.301,0.079,0.05,0.148,0.09,1564.881,763.714,1478.473,492.255,1877.916,473.701,1877.916,473.701,23.239,21.498,22.645,20.83,21.004,19.964,34.503,6.617,6.082,5.932,4.79,4.532,3.763,8.269,3025.365,1485.568,-180.739,122.911,-34.714,35.721,4.819,-0.044,-21.75,1.83,-8.724,-3.474,-9.643,-3.49,-4.552,-10.093,-5.154,-9.907,-10.715,-7.272,-2.818,-4.736,93.147,48.064,33.368,25.909,34.439,18.021,13.415,10.295,11.835,11.717,10.326,7.941,7.509,8.595,9.772,9.353,7.193,7.216,7.608,9.544,0.406,0.239,0.153,0.15,0.232,0.423,0.218,0.175,0.279,0.42,0.391,0.355,0.357,0.283,0.21,0.22,0.235,0.391,0.236,0.213,0.295,0.348,0.344,0.314
blues,0.131,0.194,1.645,2.137,0.085,0.038,0.165,0.1,1477.229,521.324,1382.14,351.391,1776.095,372.636,1776.095,372.636,24.318,19.866,20.825,21.086,22.061,20.815,33.765,6.492,4.965,5.571,4.532,3.961,3.507,7.013,2770.064,1007.745,-165.105,139.686,-54.098,38.987,7.628,1.563,-23.369,1.762,-6.411,-3.948,-5.649,-2.302,-9.228,-11.652,-9.265,-11.9,-12.311,-6.418,-1.784,-6.309,103.43,40.563,36.157,17.349,30.631,16.516,11.595,11.738,12.854,14.571,8.691,8.206,11.196,7.18,9.669,9.615,7.229,5.333,6.154,7.921,0.438,0.211,0.148,0.193,0.3,0.611,0.27,0.183,0.306,0.494,0.345,0.306,0.363,0.209,0.179,0.231,0.201,0.33,0.225,0.185,0.26,0.357,0.313,0.24
blues,0.09,0.133,2.19,3.857,0.056,0.036,0.115,0.065,1309.365,571.303,1528.191,382.343,2024.261,377.914,2024.261,377.914,19.858,19.806,20.505,19.329,20.825,19.265,35.018,4.362,4.902,5.137,4.451,4.31,3.312,5.416,2678.561,1091.668,-194.921,141.111,-25.504,35.264,11.736,12.656,-20.067,8.18,-10.89,-5.071,-6.237,-6.947,-1.095,-7.425,-8.357,-7.325,-10.385,-12.544,-6.05,-7.369,79.466,32.716,23.407,15.107,23.92,10.939,12.511,12.55,14.061,12.322,10.523,8.004,9.328,7.286,9.296,8.584,7.539,7.669,8.099,7.848,0.293,0.346,0.349,0.196,0.189,0.253,0.221,0.263,0.32,0.408,0.638,0.411,0.269,0.35,0.303,0.233,0.239,0.245,0.239,0.311,0.308,0.271,0.346,0.249
blues,0.115,0.165,1.995,2.829,0.051,0.025,0.143,0.081,1303.964,533.223,1533.025,396.988,2017.023,386.132,2017.023,386.132,20.406,19.914,20.85,19.857,20.917,19.964,35.75,4.57,4.222,4.858,4.764,3.891,3.081,5.471,2762.745,1148.789,-178.914,144.22,-25.796,40.374,4.354,10.421,-19.145,9.508,-11.466,-5.685,-7.339,-6.572,-5.775,-7.545,-9.114,-7.239,-12.006,-10.748,-3.023,-10.965,79.216,31.921,23.194,15.817,26.683,13.133,12.83,12.702,14.427,13.87,9.543,9.522,9.821,7.507,8.663,8.438,7.44,7.936,8.66,7.447,0.241,0.204,0.276,0.212,0.231,0.312,0.188,0.125,0.24,0.381,0.631,0.458,0.243,0.24,0.301,0.277,0.274,0.308,0.223,0.162,0.287,0.263,0.352,0.302
blues,0.108,0.155,1.984,2.958,0.076,0.057,0.137,0.073,1648.647,806.619,1651.329,439.984,2097.167,400.11,2097.167,400.11,20.111,20.582,20.721,19.683,20.598,19.67,37.483,4.75,4.454,5.041,4.574,4.121,3.438,5.961,3282.34,1455.548,-166.89,127.599,-32.075,47.441,-2.816,12.054,-24.443,9.489,-13.063,1.519,-12.524,-6.615,-4.34,-8.717,-9.708,-10.473,-9.419,-8.957,-4.976,-7.602,82.895,47.536,25.26,22.667,23.742,10.607,12.741,11.824,10.892,13.295,15.133,9.874,9.313,7.791,9.242,8.014,6.251,7.514,7.355,6.704,0.253,0.237,0.356,0.259,0.231,0.327,0.18,0.159,0.236,0.366,0.66,0.476,0.239,0.263,0.314,0.285,0.257,0.308,0.18,0.2,0.249,0.27,0.344,0.29
blues,0.118,0.152,1.367,0.69,0.068,0.032,0.147,0.038,1710.435,462.271,2002.089,323.744,2509.128,281.125,2509.128,281.125,29.6,15.071,17.622,17.272,20.172,17.685,40.759,5.054,3.862,4.628,3.5,3.755,2.461,2.862,3710.955,1144.983,-115.713,123.825,-17.212,46.006,-8.162,21.096,-21.96,22.477,-12.447,22.171,-5.891,7.906,-13.45,4.586,-5.764,-1.767,-7.532,3.351,4.09,-2.559,50.403,21.722,18.107,13.333,13.216,11.215,7.688,8.821,6.849,7.291,6.585,7.132,7.357,6.864,5.921,7.05,5.204,6.711,5.209,6.137,0.296,0.304,0.369,0.392,0.473,0.437,0.53,0.34,0.37,0.444,0.346,0.453,0.226,0.237,0.3,0.253,0.345,0.289,0.337,0.251,0.257,0.31,0.255,0.303
blues,0.116,0.149,1.319,0.624,0.062,0.024,0.144,0.039,1693.6,370.795,2032.833,323.369,2528.656,285.572,2528.656,285.572,29.342,15.331,17.354,16.93,19.262,17.785,40.41,5.14,4.223,4.693,3.347,3.889,2.716,2.816,3794.565,1078.231,-123.826,121.112,-14.409,49.635,-8.744,20.16,-18.51,22.437,-11.855,20.589,-7.866,5.537,-13.016,5.796,-5.281,-0.228,-6.25,1.749,3.032,-2.075,51.004,19.784,18.632,14.662,13.36,9.741,6.835,8.588,5.859,7.313,7.071,7.706,7.969,7.427,5.578,7.601,5.508,5.693,6.27,6.025,0.287,0.265,0.317,0.383,0.489,0.418,0.47,0.367,0.405,0.481,0.368,0.426,0.23,0.221,0.279,0.291,0.366,0.298,0.331,0.284,0.294,0.328,0.276,0.31
blues,0.11,0.142,1.372,0.729,0.062,0.023,0.136,0.038,1676.939,371.766,2042.998,325.701,2560.116,280.975,2560.116,280.975,29.21,14.734,16.554,17.02,19.705,17.549,40.432,5.454,3.784,4.481,3.695,3.769,2.605,2.844,3718.974,1136.59,-125.08,123.615,-13.576,43.733,-8.412,20.145,-18.027,25.029,-11.925,21.545,-7.162,8.322,-12.34,5.439,-5.074,-1.77,-7.817,3.454,2.712,-3.068,51.708,19.483,18.595,13.046,13.41,9.887,7.775,8.691,6.93,8.183,7.258,7.264,8.226,6.975,5.707,6.449,5.283,5.629,5.841,5.839,0.365,0.344,0.413,0.49,0.606,0.498,0.485,0.344,0.374,0.464,0.387,0.508,0.226,0.228,0.279,0.269,0.329,0.301,0.318,0.241,0.239,0.297,0.257,0.32
blues,0.07,0.109,2.239,4.52,0.083,0.037,0.088,0.064,1771.119,585.425,1953.699,374.463,2409.83,345.102,2409.83,345.102,14.536,17.907,21.665,20.241,19.111,19.373,36.8,4.074,4.272,4.813,4.327,4.075,4.434,5.501,3870.706,1293.186,-203.587,117.89,-12.824,42.31,-20.177,17.118,-11.095,10.046,-15.21,4.521,-9.38,3.538,-3.58,-6.312,-2.64,-3.02,-2.517,-1.236,2.085,-7.836,75.468,28.903,25.283,18.478,19.552,18.797,11.383,9.202,9.706,8.793,8.674,9.784,7.088,8.682,10.303,6.313,7.68,10.869,8.163,10.385,0.349,0.375,0.441,0.261,0.152,0.184,0.201,0.419,0.306,0.185,0.198,0.263,0.345,0.354,0.372,0.264,0.178,0.245,0.221,0.38,0.29,0.22,0.253,0.299
blues,0.073,0.113,2.113,4.062,0.086,0.044,0.091,0.067,1898.105,579.448,1994.719,341.332,2414.706,333.06,2414.706,333.06,14.653,18.062,22.301,20.336,19.108,19.583,37.615,4.348,4.895,4.903,4.098,3.662,4.189,5.181,4164.601,1106.164,-202.522,107.449,-15.495,44.327,-26.409,13.095,-11.192,8.882,-13.285,6.869,-5.02,3.439,3.3,-6.598,-1.507,-2.327,-4.39,-2.718,5.166,-1.677,81.298,31.829,26.687,21.395,24.477,16.443,11.573,7.417,12.956,10.433,11.27,11.339,9.712,8.016,10.275,7.583,6.931,7.438,8.713,8.508,0.194,0.248,0.488,0.232,0.151,0.338,0.252,0.439,0.285,0.164,0.154,0.165,0.243,0.269,0.42,0.219,0.195,0.382,0.226,0.384,0.273,0.202,0.254,0.233
